start;ig
01067;5
01069;5
01097;5
01099;5
01108;5
01109;5
01127;5
01129;5
01139;5
01156;5
01157;5
01159;5
01169;5
01187;5
01189;5
01217;5
01219;5
01237;5
01239;5
01257;5
01259;5
01277;5
01279;5
01307;5
01309;5
01324;5
01326;5
01328;5
01445;5
01454;5
01458;5
01465;5
01468;5
01471;5
01477;5
01558;5
01561;5
01587;5
01589;5
01591;5
01594;5
01609;5
01612;5
01616;5
01619;5
01623;5
01640;5
01662;5
01665;5
01683;5
01689;5
01705;5
01723;5
01728;5
01731;5
01734;5
01737;5
01738;5
01744;5
01762;5
01768;5
01773;5
01774;5
01776;5
01778;5
01796;5
01809;5
01814;5
01816;5
01819;5
01824;5
01825;5
01829;5
01833;5
01844;5
01847;5
01848;5
01855;5
01877;5
01896;5
01900;5
01904;5
01906;5
01909;5
01917;5
01920;5
01936;5
01945;
01968;
01979;
01983;
01987;
01990;
01993;
01994;
01996;
01998;
02625;5
02627;5
02633;5
02681;5
02689;5
02692;5
02694;5
02699;5
02708;
02727;
02730;
02733;
02736;
02739;
02742;
02747;
02748;
02763;
02779;
02782;
02785;
02788;
02791;
02794;
02796;
02797;
02799;
02826;
02827;
02828;
02829;
02894;
02899;
02906;
02923;
02929;
02943;
02953;
02956;
02957;
02959;
02977;5
02979;5
02991;5
02994;5
02997;5
02999;5
03042;
03044;
03046;
03048;
03050;
03051;
03052;
03053;
03054;
03055;
03058;
03096;
03099;
03103;
03116;
03119;
03130;
03149;
03159;
03172;
03185;
03197;
03205;
03222;
03226;
03229;
03238;
03246;
03249;
03253;
04103;89
04105;89
04107;89
04109;89
04129;89
04155;89
04157;89
04158;89
04159;89
04177;89
04178;89
04179;89
04205;89
04207;89
04209;89
04229;89
04249;89
04275;89
04277;89
04279;89
04288;89
04289;89
04299;89
04315;89
04316;89
04317;89
04318;89
04319;89
04328;89
04329;89
04347;89
04349;89
04356;89
04357;89
04416;89
04420;89
04425;89
04435;89
04442;89
04451;89
04463;89
04509;89
04519;89
04523;89
04539;89
04552;89
04564;89
04565;89
04567;89
04571;89
04575;89
04600;1
04603;1
04610;1
04613;1
04617;1
04618;1
04626;1
04639;1
04643;89
04651;89
04654;89
04668;89
04680;89
04683;89
04687;89
04703;
04720;
04736;
04741;
04746;
04749;
04758;89
04769;89
04774;89
04779;89
04808;89
04821;89
04824;89
04827;89
04828;89
04838;89
04849;89
04860;89
04861;89
04862;89
04874;89
04880;89
04886;89
04889;89
04895;
04910;
04916;
04924;
04928;
04931;
04932;
04934;
04936;
04938;
06108;
06110;
06112;
06114;
06116;
06118;
06120;
06122;
06124;
06126;
06128;
06130;
06132;
06179;
06184;
06188;
06193;
06198;
06217;
06231;
06237;
06242;
06246;
06249;
06255;
06258;
06259;
06268;102
06279;102
06295;102
06308;102
06311;102
06313;102
06317;102
06333;102
06333;
06343;102
06347;
06366;
06369;
06385;
06386;
06388;
06406;
06408;
06420;
06425;
06429;
06449;
06456;
06458;
06463;
06464;
06466;
06467;
06469;
06484;
06485;
06493;
06502;
06526;102
06528;102
06536;
06537;
06542;102
06543;
06556;89
06567;89
06571;89
06577;89
06578;89
06618;
06628;
06632;
06632;
06636;
06638;
06642;
06647;
06648;
06667;
06679;
06682;
06686;
06688;
06711;
06712;
06721;
06722;
06729;
06749;
06766;
06772;
06773;
06774;
06779;
06780;
06785;
06792;
06794;
06796;
06800;
06803;
06808;
06809;
06842;
06844;
06846;
06847;
06849;
06861;
06862;
06868;
06869;
06886;
06888;
06889;
06895;
06901;
06905;
06917;
06925;
07318;89
07330;89
07333;102
07338;102
07343;89
07349;89
07356;102
07366;102
07368;102
07381;102
07387;102
07389;102
07407;89
07422;89
07426;89
07427;89
07429;89
07545;89
07546;89
07548;89
07549;89
07551;89
07552;89
07554;89
07557;89
07570;89
07580;89
07586;89
07589;89
07607;
07613;
07616;
07619;
07629;
07639;
07646;
07743;
07745;
07747;
07749;
07751;
07751;
07768;
07774;
07778;
07806;89
07819;89
07907;102
07919;
07919;89
07922;89
07924;102
07926;89
07927;89
07929;102
07937;89
07950;89
07952;
07955;89
07957;89
07958;89
07973;89
07980;89
07985;
07987;89
08056;
08058;
08060;
08062;
08064;
08066;
08107;
08112;
08115;
08118;
08132;
08134;
08141;
08144;
08147;
08209;
08223;
08228;
08233;
08236;
08237;
08239;
08248;
08258;
08261;
08262;
08267;
08280;
08289;
08294;
08297;
08301;
08304;
08309;
08315;
08321;
08324;
08328;
08340;
08344;
08349;
08352;
08359;
08371;
