id;name;mail;aktiv;sewobe_id
1;DIMB IG Thüringen;ig.thueringen@dimb.de;1;00004
2;DIMB IG Fünf-Seen-Land;ig.ammersee@dimb.de;1;00001
3;5 - Bremen;office@dimb.de;0;10382
4;DIMB IG Chemnitz;ig.chemnitz@dimb.de;1;00002
5;DIMB IG Dresden;ig.dresden@dimb.de;1;00006
6;5 - Hamburg;office@dimb.de;0;NULL
7;DIMB IG München und Umland;ig.muenchen@dimb.de;1;00003
8;DIMB IG Moseleifel;ig.moseleifel@dimb.de;1;00008
9;DIMB IG Nordschwarzwald;ig.nordschwarzwald@dimb.de;1;00013
11;DIMB IG Odenwald;ig.odenwald@dimb.de;1;00015
12;DIMB IG Hessischer Spessart;ig.hessischerspessart@dimb.de;1;00026
13;DIMB IG Pfalz;ig.pfalz@dimb.de;1;00014
14;DIMB IG Rhein-Nahe;ig.rhein-nahe@dimb.de;0;00009
15;DIMB IG Rhein-Sieg;ig.rhein-sieg@dimb.de;1;00017
16;DIMB IG Saar;ig.saar@dimb.de;1;00021
17;DIMB IG Südschwarzwald;ig.suedschwarzwald@dimb.de;1;00011
18;5 - Schleswig-Holstein;office@dimb.de;0;NULL
19;DIMB IG Stauferland;ig.stauferland@dimb.de;1;00010
20;DIMB IG Stuttgart;ig.stuttgart@dimb.de;1;00012
21;DIMB IG Taunus;ig.taunus@dimb.de;1;00005
22;DIMB IG Sauerland;ig.sauerland@dimb.de;1;00028
23;DIMB IG Erlangen;ig.erlangen@dimb.de;1;00025
25;DIMB IG Ostwürttemberg;ig.ostwuerttemberg@dimb.de;1;00027
27;DIMB IG Bayerische Voralpen;ig.bayerischevoralpen@dimb.de;1;00024
28;DIMB IG Chiemgau u BGL;ig.chbgl@dimb.de;1;00030
29;DIMB IG Alb-Neckar-Donau;ig.albdonauneckar@dimb.de;1;00034
30;DIMB IG Altmühltal;ig.altmuehltal@dimb.de;1;00029
32;DIMB IG Bodensee;ig.bodensee@dimb.de;1;00032
33;0 Test bitte nicht nutzen;office@dimb.de;1;00000
34;DIMB IG Köln;ig.koeln@dimb.de;1;00033
39;DIMB IG Osnabrücker Land;igosnabrueckerland@gmail.com;1;00039
41;DIMB IG Harz;ig.harz@dimb.de;1;00019
44;DIMB IG Allgäu;ig.allgaeu@dimb.de;1;00038
45;DIMB IG Kassel;ig.kassel@dimb.de;1;00037
46;Test;office@dimb.de;1;00040
47;DIMB IG Regensburg;office@dimb.de;1;00042
51;DIMB IG Nürnberg-Fürth;ig.nuernbergfuerth@dimb.de;1;00041
54;DIMB IG Oberfranken;office@dimb.de;1;00045
58;DIMB IG Schwarzwald Mitte;ig.schwarzwaldmitte@dimb.de;1;00061
65;Intern - Bodensee (BW);office@dimb.de;0;02031
66;Intern - Odenwald (BW);office@dimb.de;0;01234
68;DIMB IG Rems-Murr;Office@dimb.de;1;00060
